method_short,method,scenario_id,n_windows,mrr,top1,top3,top5,source_json,defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow,observability_tier,min_monitor_hop,nearest_monitors,is_hard_candidate
Degree,degree,192,6,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,192,I,HS1313001,,60,14,6,4.2315,0.0,0.0,0.0,7.0525,direct,0,HS1313001,False
Degree,degree,386,24,0.15739087301587304,0.0,0.125,0.25,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,386,E,HS2003111,HS1314268.1,40,6,24,-11.2233,0.0,0.0,0.0,28.0583,far,5,HS1306601,True
Degree,degree,294,12,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,294,E,HS1313140,HS1313044.1,50,18,12,4.4921,0.0,0.0,0.0,-8.9841,near,1,HS1313044,False
Degree,degree,344,12,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,344,E,HS1316202,HS1316177.1,50,12,12,-34.5508,0.0,0.0,0.0,69.1016,near,2,HS1316267,False
Degree,degree,258,18,0.9444444444444444,0.8888888888888888,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,258,E,HS1306601,HS1306571.1,50,18,18,-53.7476,0.0,0.0,0.0,107.4953,direct,0,HS1306601,False
Degree,degree,309,12,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,309,E,HS1313298,HS1313343.1,60,6,12,-6.2658,0.0,0.0,0.0,10.4429,direct,0,HS1313298,False
Degree,degree,150,6,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,150,I,HS1311473,,40,20,6,0.74,0.0,0.0,0.0,1.85,near,1,HS1313001,False
Degree,degree,131,6,0.29166666666666663,0.0,0.5,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,131,I,HS2003085,,50,14,6,15.6964,0.0,0.0,0.0,31.3929,far,4,HS1306601,True
Degree,degree,152,17,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,152,I,HS1316721,,60,2,18,9.9812,0.0,0.0,0.0,16.6354,near,2,HS1316467,False
Degree,degree,360,3,0.6666666666666666,0.3333333333333333,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,360,E,HS1316643,HS1316671.1,40,0,6,-3.5514,0.0,0.0,0.0,8.8784,far,3,HS1316467;HS1316563,True
Degree,degree,100,11,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,100,I,HS1306601,,60,2,12,86.3997,0.0,0.0,0.0,143.9995,direct,0,HS1306601,False
Degree,degree,373,24,0.6597222222222222,0.375,0.9166666666666666,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,373,E,HS1344263,MH0242782.1,40,18,24,-3.5554,0.0,0.0,0.0,8.8884,far,3,HS1316563,True
Degree,degree,88,23,0.5652173913043478,0.13043478260869565,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,88,I,MH0200661,,50,2,24,1.7404,0.0,0.0,0.0,3.4808,far,4,HS1306571,True
Degree,degree,331,3,0.5,0.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,331,E,HS1314477,1,50,0,6,-9.1498,0.0,0.0,0.0,18.2997,near,1,HS1308324,False
Degree,degree,215,18,0.4412698412698413,0.2222222222222222,0.5,0.8333333333333334,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,215,I,HS1344902,,50,20,18,2.4435,0.0,0.0,0.0,4.887,far,3,HS1316467,True
Degree,degree,122,6,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,122,I,HS1313140,,60,8,6,5.4027,0.0,0.0,0.0,9.0045,near,1,HS1313044,False
Degree,degree,21,23,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,21,I,HS1308259,,50,2,24,6.1481,0.0,0.0,0.0,12.2961,near,1,HS1308324,False
Degree,degree,189,5,0.9,0.8,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,189,I,HS1313925,,40,2,6,0.8005,0.0,0.0,0.0,2.0012,near,1,HS1313959,False
Degree,degree,72,12,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,72,I,MH0201710,,60,20,12,9.4275,0.0,0.0,0.0,15.7126,far,3,HS1306571,True
Degree,degree,107,24,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,107,I,HS1313618,,50,20,24,2.057,0.0,0.0,0.0,4.114,near,1,HS1313640,False
