scenario_id,defect_type,true_node,start_hour,duration_h,flow,abs_flow,time_to_peak_hours,dominant_hop_band,peak_response_index,peak_exceedance_rate,flow_rank_pct,peak_phase
124,I,HS1313140,14,18,4.5023,4.5023,7.0,3+-hop,0.4534388026571168,0.04878048780487805,0.428,6-12 h
125,I,HS1313140,2,18,3.6018,3.6018,3.166667,3+-hop,0.39011255490585783,0.032520325203252036,0.358,2-6 h
126,I,HS1308302,20,6,16.7922,16.7922,5.833333,1-hop,0.48495645025547485,0.0,0.728,2-6 h
127,I,HS1308302,8,18,13.9935,13.9935,13.333333,1-hop,0.2794908974086673,0.0,0.676,12+ h
128,I,HS1308302,20,18,16.7922,16.7922,8.0,1-hop,0.6119130693098448,0.0,0.728,6-12 h
129,I,HS1308302,14,18,11.1948,11.1948,14.0,1-hop,0.37110099661504986,0.0,0.58,12+ h
130,I,HS1308302,8,12,16.7922,16.7922,6.0,1-hop,0.3052465318744162,0.0,0.728,2-6 h
131,I,HS2003085,14,6,15.6964,15.6964,2.833333,3+-hop,0.5067248681750945,0.09090909090909091,0.712,2-6 h
132,I,HS2003085,20,6,12.5572,12.5572,3.166667,3+-hop,0.4393120290998874,0.0743801652892562,0.592,2-6 h
133,I,HS2003085,14,24,18.8357,18.8357,9.166667,3+-hop,0.6524139949317436,0.09090909090909091,0.744,6-12 h
134,I,HS2003085,8,12,15.6964,15.6964,5.0,3+-hop,0.5258424072255646,0.08264462809917356,0.712,2-6 h
135,I,HS2003085,2,24,15.6964,15.6964,2.833333,3+-hop,0.5434583543909418,0.09090909090909091,0.712,2-6 h
136,I,HS1306571,8,6,64.5455,64.5455,2.166667,1-hop,2.7568475907642704,0.3333333333333333,0.942,2-6 h
137,I,HS1306571,14,18,64.5455,64.5455,6.833333,3+-hop,2.851294288610423,0.11965811965811966,0.942,6-12 h
138,I,HS1306571,2,6,53.7879,53.7879,0.333333,1-hop,2.3862647588127697,0.3333333333333333,0.918,0-2 h
139,I,HS1306571,20,12,53.7879,53.7879,6.0,1-hop,2.3880613039276715,0.3333333333333333,0.918,2-6 h
140,I,HS1306571,8,6,43.0303,43.0303,0.5,1-hop,1.848304850633268,0.3333333333333333,0.884,0-2 h
141,I,HS1316643,20,12,4.4331,4.4331,8.0,1-hop,3.0735671216347766,0.6666666666666666,0.42,6-12 h
142,I,HS1316643,14,12,4.4331,4.4331,1.0,1-hop,3.033804808710014,0.6666666666666666,0.42,0-2 h
143,I,HS1316643,14,18,6.6496,6.6496,14.0,1-hop,4.584496384169463,0.6666666666666666,0.504,12+ h
144,I,HS1316643,8,18,5.5414,5.5414,6.833333,1-hop,3.786947339891081,0.6666666666666666,0.48,6-12 h
145,I,HS1316643,2,12,4.4331,4.4331,3.666667,1-hop,3.1309879460135557,0.6666666666666666,0.42,2-6 h
146,I,HS1311473,20,12,0.74,0.74,11.666667,2-hop,0.1349987612727063,0.0,0.042,6-12 h
147,I,HS1311473,8,6,0.74,0.74,5.166667,2-hop,0.13500021493401887,0.0,0.042,2-6 h
148,I,HS1311473,14,18,0.74,0.74,3.0,2-hop,0.1541829085316024,0.0,0.042,2-6 h
149,I,HS1311473,14,24,1.11,1.11,3.166667,2-hop,0.23191933902611614,0.0,0.088,2-6 h
150,I,HS1311473,20,6,0.74,0.74,1.5,2-hop,0.10508847553258659,0.0,0.042,0-2 h
151,I,HS1316721,2,24,6.6542,6.6542,1.333333,2-hop,0.40638676527300344,0.0,0.51,0-2 h
152,I,HS1316721,2,18,9.9812,9.9812,1.166667,2-hop,0.6027531207886103,0.0,0.556,0-2 h
153,I,HS1316721,14,18,9.9812,9.9812,13.666667,2-hop,0.5921222571386819,0.0,0.556,12+ h
154,I,HS1316721,8,6,6.6542,6.6542,1.166667,3+-hop,0.308822121106753,0.058333333333333334,0.51,0-2 h
155,I,HS1316721,8,24,9.9812,9.9812,7.5,3+-hop,0.5182003004548186,0.08333333333333333,0.556,6-12 h
156,I,HS1314477,20,18,113.5742,113.5742,7.5,1-hop,0.367734987490726,0.0,0.98,6-12 h
157,I,HS1314477,20,18,136.289,136.289,7.666667,1-hop,0.42674855784580096,0.0,0.994,6-12 h
158,I,HS1314477,2,18,136.289,136.289,1.0,1-hop,0.42677260240459564,0.0,0.994,0-2 h
159,I,HS1314477,14,12,136.289,136.289,11.833333,1-hop,0.41410090728097004,0.0,0.994,6-12 h
160,I,HS1314477,8,18,136.289,136.289,13.5,1-hop,0.3832278222104868,0.0,0.994,12+ h
161,I,HS1313835,20,12,40.906,40.906,11.833333,3+-hop,1.9857135584160346,0.11864406779661017,0.876,6-12 h
162,I,HS1313835,20,24,34.0883,34.0883,13.166667,3+-hop,1.793929627376355,0.11864406779661017,0.84,12+ h
163,I,HS1313835,8,6,27.2706,27.2706,2.5,3+-hop,1.6521681441356155,0.11016949152542373,0.784,2-6 h
164,I,HS1313835,20,6,27.2706,27.2706,5.833333,3+-hop,1.2704602707975865,0.1016949152542373,0.784,2-6 h
165,I,HS1313835,20,12,27.2706,27.2706,8.166667,3+-hop,1.3330569687124156,0.1016949152542373,0.784,6-12 h
166,I,HS1313205,20,12,37.6111,37.6111,10.166667,2-hop,5.612135166322377,0.14285714285714285,0.866,6-12 h
167,I,HS1313205,8,6,31.3426,31.3426,1.0,2-hop,4.67744305495169,0.14285714285714285,0.834,0-2 h
168,I,HS1313205,20,24,31.3426,31.3426,4.0,2-hop,4.744163187261744,0.14285714285714285,0.834,2-6 h
169,I,HS1313205,14,6,25.0741,25.0741,0.333333,2-hop,3.715573502836197,0.14285714285714285,0.776,0-2 h
170,I,HS1313205,20,6,37.6111,37.6111,4.0,2-hop,5.518927561140304,0.14285714285714285,0.866,2-6 h
171,I,HS1306904,20,12,76.4982,76.4982,7.333333,1-hop,7.726698383106164,0.25,0.954,6-12 h
172,I,HS1306904,8,6,114.7473,114.7473,0.333333,1-hop,11.157097915405657,0.25,0.984,0-2 h
173,I,HS1306904,8,6,95.6227,95.6227,0.333333,1-hop,9.313688231048175,0.25,0.974,0-2 h
174,I,HS1306904,20,18,76.4982,76.4982,7.333333,1-hop,7.726698383106164,0.25,0.954,6-12 h
175,I,HS1306904,2,24,95.6227,95.6227,0.5,1-hop,9.634557166339437,0.25,0.974,0-2 h
176,I,HS1324403,20,12,37.5994,37.5994,4.166667,3+-hop,3.6971864050993783,0.23529411764705882,0.858,2-6 h
177,I,HS1324403,20,12,25.0663,25.0663,4.333333,3+-hop,2.447858854681338,0.17647058823529413,0.772,2-6 h
178,I,HS1324403,14,12,31.3328,31.3328,10.166667,3+-hop,3.085715576412414,0.21008403361344538,0.826,6-12 h
179,I,HS1324403,20,6,37.5994,37.5994,4.166667,3+-hop,3.6971864050993783,0.23529411764705882,0.858,2-6 h
180,I,HS1324403,2,12,31.3328,31.3328,2.833333,3+-hop,3.0837919655679387,0.21008403361344538,0.826,2-6 h
181,I,HS1316415,14,18,2.2714,2.2714,14.0,0-hop,0.870863941653939,0.0,0.224,12+ h
182,I,HS1316415,2,12,3.4071,3.4071,1.166667,0-hop,1.3081897003434726,1.0,0.34,0-2 h
183,I,HS1316415,14,12,2.8392,2.8392,3.5,0-hop,1.1308478793570422,1.0,0.292,2-6 h
184,I,HS1316415,2,6,2.8392,2.8392,1.166667,0-hop,1.093133665550254,1.0,0.292,0-2 h
185,I,HS1316415,14,18,2.8392,2.8392,3.5,0-hop,1.1308478793570422,1.0,0.292,2-6 h
186,I,HS1313925,2,18,1.2007,1.2007,3.333333,3+-hop,0.08710239951008181,0.024193548387096774,0.104,2-6 h
187,I,HS1313925,20,18,1.2007,1.2007,8.0,3+-hop,0.09745892930343428,0.024193548387096774,0.104,6-12 h
188,I,HS1313925,20,6,1.2007,1.2007,5.833333,3+-hop,0.08308268110281328,0.024193548387096774,0.104,2-6 h
189,I,HS1313925,2,6,0.8005,0.8005,3.333333,3+-hop,0.05815475661687113,0.008064516129032258,0.052,2-6 h
190,I,HS1313925,14,24,1.0006,1.0006,14.0,3+-hop,0.08680411811669834,0.024193548387096774,0.072,12+ h
191,I,HS1313001,14,24,4.2315,4.2315,12.166667,2-hop,2.8565719527838223,0.3333333333333333,0.396,12+ h
192,I,HS1313001,14,6,4.2315,4.2315,4.0,2-hop,2.067422865755343,0.3333333333333333,0.396,2-6 h
193,I,HS1313001,2,24,2.821,2.821,2.0,2-hop,2.120653358868653,0.3333333333333333,0.284,0-2 h
194,I,HS1313001,14,12,4.2315,4.2315,11.833333,2-hop,2.720004715254507,0.3333333333333333,0.396,6-12 h
195,I,HS1313001,20,6,3.5263,3.5263,5.833333,2-hop,2.3184170550516616,0.3333333333333333,0.352,2-6 h
196,I,MH0101924,20,24,20.9231,20.9231,8.5,3+-hop,1.5459917689700613,0.1092436974789916,0.76,6-12 h
197,I,MH0101924,2,18,13.9487,13.9487,1.0,3+-hop,1.0371894630149123,0.10084033613445378,0.668,0-2 h
198,I,MH0101924,8,18,13.9487,13.9487,13.333333,3+-hop,0.9022520289156621,0.10084033613445378,0.668,12+ h
199,I,MH0101924,8,6,17.4359,17.4359,3.166667,3+-hop,1.1228312447861042,0.10084033613445378,0.736,2-6 h
200,I,MH0101924,14,12,13.9487,13.9487,11.333333,3+-hop,1.0260772479765456,0.10084033613445378,0.668,6-12 h
201,I,HS2003111,20,18,14.8606,14.8606,9.0,3+-hop,0.5036732433042184,0.09016393442622951,0.682,6-12 h
202,I,HS2003111,14,18,11.8885,11.8885,12.833333,3+-hop,0.3957114853983192,0.08196721311475409,0.586,12+ h
203,I,HS2003111,2,6,14.8606,14.8606,2.666667,3+-hop,0.4914102142394623,0.09016393442622951,0.682,2-6 h
204,I,HS2003111,20,18,17.8327,17.8327,9.0,3+-hop,0.5997062806326285,0.09016393442622951,0.74,6-12 h
205,I,HS2003111,20,6,11.8885,11.8885,3.166667,3+-hop,0.3895370826302543,0.08196721311475409,0.586,2-6 h
206,I,MH0242782,14,6,5.3314,5.3314,1.166667,3+-hop,0.7087778976520029,0.08870967741935484,0.46,0-2 h
207,I,MH0242782,14,24,5.3314,5.3314,7.666667,3+-hop,0.7499135270358113,0.08870967741935484,0.46,6-12 h
208,I,MH0242782,20,6,5.3314,5.3314,1.666667,3+-hop,0.7500335937626971,0.08870967741935484,0.46,0-2 h
209,I,MH0242782,8,18,5.3314,5.3314,13.666667,3+-hop,0.7501216569123254,0.08870967741935484,0.46,12+ h
210,I,MH0242782,2,6,5.3314,5.3314,3.666667,3+-hop,0.6608917199091568,0.08064516129032258,0.46,2-6 h
211,I,HS1344902,2,24,2.4435,2.4435,3.333333,1-hop,1.9290863564402514,1.0,0.238,2-6 h
212,I,HS1344902,2,6,2.9322,2.9322,3.333333,1-hop,2.305816957608581,1.0,0.302,2-6 h
213,I,HS1344902,2,24,2.9322,2.9322,3.333333,1-hop,2.305816957608581,1.0,0.302,2-6 h
214,I,HS1344902,8,24,1.9548,1.9548,6.333333,1-hop,1.4956089699295916,1.0,0.184,6-12 h
215,I,HS1344902,20,18,2.4435,2.4435,9.5,1-hop,1.8981414702601922,1.0,0.238,6-12 h
216,I,HS1306554,8,18,20.0283,20.0283,13.833333,2-hop,9.507919273435684,0.75,0.756,12+ h
217,I,HS1306554,14,24,13.3522,13.3522,13.166667,2-hop,7.277075610848134,0.5,0.64,12+ h
218,I,HS1306554,14,6,13.3522,13.3522,5.0,2-hop,4.954198941185311,0.5,0.64,2-6 h
219,I,HS1306554,8,6,16.6903,16.6903,2.333333,2-hop,6.26281670951798,0.5,0.72,2-6 h
220,I,HS1306554,8,12,13.3522,13.3522,6.666667,2-hop,5.077500396223819,0.5,0.64,6-12 h
221,I,HS1330842,14,24,4.3084,4.3084,14.0,2-hop,0.7509024336839064,0.0,0.408,12+ h
